,Price,Title,Visitors,Beds,Bedrooms,Baths,Guest Favorite,Superhost,Review Index,Number of reviews,Host Name,Latitude,Longitude,char_superhost,char_free_cancellation,char_fast_wifi,char_dedicated_workspace,char_great_location,char_furry_friends,char_highly_rated,char_self_check-in,char_great_check-in,char_remote_work
0,41.0,#A~ Ιoanna's Apartments,4,2.0,1.0,1,0,1,4.0,41.0,Ioanna Apartments,40.6662,22.9039,1,0,0,0,0,0,0,1,0,1
1,22.0,Sweet Little House,2,1.0,1.0,1,0,1,4.0,124.0,Theodoros,40.66211,22.91335,1,0,1,0,0,0,0,1,0,0
2,50.0,No 2 Achilles luxury suite,3,,1.0,1,0,0,,1.0,Vasileios,40.6614,22.8991,0,0,0,0,0,0,0,0,0,0
3,50.0,Old Radio House,4,3.0,2.0,1,0,1,4.0,73.0,Anthi M.,40.6715,22.89646,1,1,0,0,0,0,0,0,0,0
4,30.0,Eptalofos Studio Loft,3,4.0,1.0,1,0,1,4.0,14.0,Ioannis,40.6539,22.9172,1,0,0,0,0,0,0,0,0,0
5,30.0,Sofaki Apartments,3,1.0,1.0,1,0,0,4.0,374.0,Nikos,40.6743,22.8964,0,1,0,0,0,0,0,0,1,0
6,28.0,Modern & Comfy Apartment,2,,1.0,1,0,0,,,Απόστολος,40.6547,22.93455,0,1,0,0,0,0,0,0,0,0
8,45.0,South France Apt,2,1.0,1.0,1,1,0,5.0,23.0,Dimitris,40.6755,22.8994,0,1,0,0,0,0,0,0,1,0
9,67.0,Located on the second floor,4,,2.0,1,0,0,5.0,3.0,Errikos,40.6747513,22.9197983,0,1,0,0,0,0,0,0,0,0
11,56.0,Honeybee Apartment,3,2.0,1.0,1,0,0,5.0,4.0,Alekso,40.6697,22.8895,0,1,0,1,1,0,0,0,0,0
12,45.0,Studio Brasil,4,3.0,,1,1,1,4.0,194.0,Luciano  Despina,40.6687,22.9151,1,0,0,1,0,0,0,1,0,0
14,57.0,Sunny Rooftop House,4,2.0,1.0,1,1,1,5.0,25.0,Τασος,40.6628,22.9119,1,0,0,0,0,0,0,1,1,0
18,41.0,#A~ Ιoanna's Apartments,4,2.0,1.0,1,0,1,4.0,41.0,Ioanna Apartments,40.6662,22.9039,0,0,0,0,0,1,0,1,0,1
19,22.0,Sweet Little House,2,1.0,1.0,1,0,1,4.0,124.0,Theodoros,40.66211,22.91335,1,0,0,0,0,0,0,1,0,0
21,45.0,Studio Brasil,4,3.0,,1,1,1,4.0,194.0,Luciano  Despina,40.6687,22.9151,1,0,0,0,0,1,0,1,0,0
23,55.0,Marianna's beautiful & cozy home,3,3.0,1.0,1,1,1,4.0,48.0,Μαριάννα,40.65973,22.90747,1,0,0,0,0,0,0,1,0,0
24,50.0,Aigaiou House H hospitable  corner of the Aegean,4,1.0,1.0,1,1,1,4.0,82.0,Christos,40.6681,22.9188,0,1,0,0,0,0,0,1,0,0
25,76.0,Antony Luxury Suite in Thessaloniki,3,1.0,1.0,1,0,1,4.0,56.0,Evgenia,40.6688,22.9214,1,0,0,0,0,0,0,1,0,0
26,32.0,#7Ioanna Apartments,2,1.0,1.0,1,1,1,4.0,28.0,Ioanna Apartments,40.67812,22.93492,0,1,0,0,0,1,0,1,0,0
27,63.0,Εmerald Luxury Suite in Thessaloniki,4,3.0,1.0,1,1,1,4.0,57.0,Alexandra,40.669,22.921,1,1,0,0,0,0,0,1,0,0
28,50.0,Anthokipon 60,8,3.0,2.0,1,1,1,4.0,38.0,Eleni,40.6701372,22.9233257,1,1,0,0,0,1,0,0,0,0
29,40.0,Sunny apartment,3,1.0,1.0,1,1,1,5.0,56.0,Olga,40.6587,22.9285,0,1,0,0,0,0,0,1,0,0
30,40.0,#Ioanna Apartments | Nikopolis Corner,4,2.0,1.0,1,0,1,4.0,49.0,Ioanna Apartments,40.68479,22.93149,0,1,0,0,0,1,0,0,0,1
32,44.0,Athenas House,4,1.0,,1,1,1,4.0,40.0,Athina,40.67004,22.90019,1,0,0,0,0,0,0,0,1,0
33,41.0,#2 Ioanna Apartments,4,2.0,1.0,1,0,1,4.0,39.0,Ioanna Apartments,40.67728,22.93619,1,1,0,0,0,0,0,0,1,0
34,42.0,#Ioannas Apartments ~Nikopolis City View,4,2.0,1.0,1,1,1,5.0,9.0,Ioanna Apartments,40.6852,22.9303,0,1,0,0,0,1,0,1,0,0
35,65.0,Unique at the center of Evosmos  Guest House Anastasia,4,2.0,1.0,1,0,0,4.0,86.0,Anastasia,40.66866,22.91202,0,0,0,1,0,0,0,0,1,0
36,32.0,#7Ioanna Apartments,2,1.0,1.0,1,1,1,4.0,28.0,Ioanna Apartments,40.67812,22.93492,0,1,0,1,0,0,0,1,0,0
37,41.0,#2 Ioanna Apartments,4,2.0,1.0,1,0,1,4.0,39.0,Ioanna Apartments,40.67728,22.93619,0,1,0,1,0,0,0,1,0,0
38,42.0,#6 Ioannas Apartments,5,3.0,1.0,1,1,1,5.0,19.0,Ioanna Apartments,40.6778,22.9351,0,1,0,1,0,0,0,1,0,0
39,33.0,Sunny studio,3,2.0,1.0,1,1,1,4.0,23.0,Olga,40.6600365,22.9295923,0,1,0,1,0,0,0,1,0,0
40,60.0,#8 Ioanna Apartments 2bedrooms,6,3.0,2.0,1,1,1,5.0,10.0,Ioanna Apartments,40.67755,22.9349,0,1,0,1,0,0,0,1,0,0
41,42.0,#Ioannas Νikopolis Apartments,4,2.0,1.0,1,1,1,5.0,12.0,Ioanna Apartments,40.6853,22.9301,0,1,0,1,0,0,0,1,0,0
42,41.0,#4 Ioanna Apartments,4,2.0,1.0,1,0,1,4.0,23.0,Ioanna Apartments,40.67682,22.93462,0,1,0,0,0,0,0,1,0,1
45,41.0,#3 Ioanna Apartments,5,3.0,1.0,1,0,1,4.0,34.0,Ioanna Apartments,40.67751,22.93477,0,1,0,1,0,0,0,1,0,0
46,46.0,Home sweet home 6,3,1.0,1.0,1,1,1,4.0,91.0,Valantis,40.66636,22.92881,1,1,0,0,0,0,0,1,0,0
47,45.0,Airy apartment,4,2.0,2.0,1,1,1,4.0,32.0,Olga,40.65775,22.92822,1,0,0,0,1,0,0,0,1,0
49,87.0,Raphael’s Suites SKG,6,2.0,2.0,2,1,1,5.0,6.0,Rafail,40.6789191,22.9364569,1,0,0,0,0,0,0,1,0,0
51,60.0,Sun City View,3,2.0,2.0,1,1,1,4.0,38.0,Angelos,40.6673,22.93403,1,0,1,0,0,0,0,0,1,0
