,Price,Title,Visitors,Beds,Bedrooms,Baths,Guest Favorite,Superhost,Review Index,Number of reviews,Host Name,Latitude,Longitude,char_superhost,char_free_cancellation,char_fast_wifi,char_dedicated_workspace,char_great_location,char_furry_friends,char_highly_rated,char_self_check-in,char_great_check-in,char_remote_work,char_communication,char_park,char_experienced_host,municipality
2.0,47.0,Home sweet home 6,3.0,1.0,1.0,1.0,1,1,4.0,91.0,Valantis,40.66636,22.92881,1,1,0,0,0,0,0,1,0,0,0,0,0,Σταυρούπολη
6.0,39.0,Home sweet home 2 ampelokipon,2.0,1.09,1.0,1.0,1,1,5.0,5.0,Ioanna,40.6566239,22.9245325,1,0,0,0,1,0,0,0,1,0,0,0,0,
8.0,29.0,Eptalofos Studio Loft,3.0,4.0,1.0,1.0,0,1,4.0,14.0,Ioannis,40.6539,22.9172,1,1,0,0,0,0,0,0,0,0,0,0,0,Δημοτική Ενότητα Μενεμένης
13.0,53.0,Lysander's House,3.0,2.0,1.0,1.0,1,0,4.0,15.0,Sofoklis,40.66876,22.89854,0,0,0,0,0,1,0,0,1,0,0,0,0,Δημοτική Ενότητα Ελευθερίου - Κορδελιού
14.0,30.0,Sofaki Apartments,3.0,1.0,1.0,1.0,0,0,4.0,374.0,Nikos,40.6743,22.8964,0,1,0,0,0,0,0,0,1,0,0,0,0,Δημοτική Ενότητα Ελευθερίου - Κορδελιού
29.0,48.0,Beautiful house in Evosmos,4.0,2.0,3.0,2.0,0,0,4.665,1.0,Aikaterini,40.672084,22.9113528,0,0,0,1,0,0,0,0,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
50.0,47.0,Anastasia2,2.0,1.0,1.0,1.0,0,0,4.691666666666666,2.0,Kleanthis,40.6561,22.9115,0,0,0,0,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Μενεμένης
88.0,91.0,Avia Luxury Apartment with Hydromassage,7.0,3.12,2.0,3.0,0,0,4.64,2.0,Ιωάννης,40.6688,22.9214,0,0,0,1,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
139.0,60.0,Classic Apartment,4.0,3.0,1.0,1.0,0,0,4.0,3.0,Panagiotis,40.655,22.9169,0,0,0,0,0,0,0,1,0,0,0,0,0,
154.0,87.0,Raphael’s Suites SKG,6.0,2.0,2.0,2.0,0,1,4.0,7.0,Rafail,40.6789191,22.9364569,1,0,0,0,0,0,0,1,0,0,0,0,0,Σταυρούπολη
162.0,55.0,Spacious*Free Parking* Near Shops*Netflix* A/C,4.0,5.0,2.0,1.0,1,0,4.0,29.0,Samantha,40.6582,22.9217,0,1,0,0,0,0,0,1,0,0,0,0,0,
255.0,39.0,#B~ Ioanna's Apartments,4.0,2.0,1.0,1.0,0,1,4.0,64.0,Ioanna Apartments,40.66652,22.9036,0,1,0,0,0,1,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
257.0,50.0,Aigaiou House H hospitable  corner of the Aegean,4.0,1.0,1.0,1.0,1,1,4.0,82.0,Christos,40.6681,22.9188,1,0,0,0,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
